"Year,Month,Day,Hour,Minute,Department,Division,Case_Type,Hundred_Block,Street_Name,Local_Area"
"2009,2,16,15,45,ENG - Streets,ZZ OLD - Streets Design (Road Ahead),Wheelchair Curb/Ramp Request,18XX,SPYGLASS PLACE,Fairview"
"2009,2,20,9,6,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,10XX,E 20TH AV,Kensington-Cedar Cottage"
"2009,2,27,16,37,ENG - Streets,ZZ OLD - Streets Design (Road Ahead),Wheelchair Curb/Ramp Request,27XX,BURRARD ST,Fairview"
"2009,3,5,13,7,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,36XX,VANNESS AV,Renfrew-Collingwood"
"2009,3,9,13,40,ENG - Transportation,Active Transportation,Bicycle Route Map Request,8XX,BURRARD ST,Downtown"
"2009,3,10,9,46,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,3XX,HEATLEY AV,Strathcona"
"2009,3,10,9,56,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,3XX,HEATLEY AV,Strathcona"
"2009,3,11,8,35,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,9XX,E 14TH AV,Mount Pleasant"
"2009,3,11,13,43,ENG - Transportation,Neighbourhood Parking and Transportation,Parking Meter Requests,1000, - 1099 MAIN ST,Strathcona"
"2009,3,12,15,56,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,19XX,COLLINGWOOD ST,Kitsilano"
"2009,3,13,10,11,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,9XX,E 17TH AV,Kensington-Cedar Cottage"
"2009,3,16,13,49,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,44XX,FRASER ST,Kensington-Cedar Cottage"
"2009,3,18,14,29,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,36XX,W 10TH AV,Kitsilano"
"2009,3,20,14,54,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,32XX,E BROADWAY,Hastings-Sunrise"
"2009,3,24,12,33,ENG - Transportation,Neighbourhood Parking and Transportation,Parking Meter Requests,36XX,WILLIAM ST,Hastings-Sunrise"
"2009,3,24,12,34,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,36XX,WILLIAM ST,Hastings-Sunrise"
"2009,3,25,16,16,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,7XX,W 17TH AV,South Cambie"
"2009,3,27,12,34,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,25XX,BALACLAVA ST,Kitsilano"
"2009,3,30,10,57,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,14XX,GRAVELEY ST,Grandview-Woodland"
"2009,4,1,13,44,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,XX,ALEXANDER ST,Downtown"
"2009,4,3,13,10,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,11XX,HARO ST,West End"
"2009,4,6,10,7,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,18XX,STEPHENS ST,Kitsilano"
"2009,4,7,11,5,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,1XX,E 27TH AV,Riley Park"
"2009,4,7,14,0,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,64XX,CHESTER ST,Sunset"
"2009,4,8,15,9,ENG - Transportation,Active Transportation,Bicycle Route Map Request,22XX,EDDINGTON DRIVE,Arbutus Ridge"
"2009,4,14,10,4,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,43XX,NANAIMO ST,Kensington-Cedar Cottage"
"2009,4,14,14,27,ENG - Transportation,Neighbourhood Parking and Transportation,Parking Meter Requests,10XX,W 50TH AV,"
"2009,4,14,14,28,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,10XX,W 50TH AV,"
"2009,4,15,11,36,ENG - Transportation,Active Transportation,Bicycle Route Map Request,26XX,E BROADWAY,Hastings-Sunrise"
"2009,4,22,11,37,ENG - Streets,ZZ OLD - Streets Design (Road Ahead),Wheelchair Curb/Ramp Request,15XX,E 5TH AV,Grandview-Woodland"
"2009,4,22,13,33,ENG - Transportation,Neighbourhood Parking and Transportation,Parking Meter Requests,17XX,W 4TH AV,Fairview"
"2009,4,23,14,43,ENG - Streets,ZZ OLD - Streets Design (Road Ahead),Wheelchair Curb/Ramp Request,28XX,COLLINGWOOD ST,Kitsilano"
"2009,4,27,12,18,ENG - Transportation,Active Transportation,Bicycle Route Map Request,16XX,NAPIER ST,Grandview-Woodland"
"2009,4,30,9,59,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,23XX,WATERLOO ST,Kitsilano"
"2009,4,30,14,4,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,29XX,W 41ST AV,Dunbar Southlands"
"2009,4,30,16,36,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,32XX,E 21ST AV,Renfrew-Collingwood"
"2009,5,1,13,53,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,80XX,FRENCH ST,Marpole"
"2009,5,4,13,49,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,19XX,BALACLAVA ST,Kitsilano"
"2009,5,4,13,54,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,19XX,BALACLAVA ST,Kitsilano"
"2009,5,5,10,27,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,53XX,HEATHER ST,South Cambie"
"2009,5,5,12,47,ENG - Transportation,Active Transportation,Bicycle Route Map Request,7XX,DENMAN ST,West End"
"2009,5,5,15,53,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,53XX,MANSON ST,South Cambie"
"2009,5,7,16,30,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,1XX,E 21ST AV,Riley Park"
"2009,5,8,15,19,ENG - Transportation,Active Transportation,Bicycle Route Map Request,27XX,W 22ND AV,Arbutus Ridge"
"2009,5,11,15,19,ENG - Transportation,Active Transportation,Bicycle Route Map Request,15XX,W BROADWAY,Fairview"
"2009,5,12,11,11,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,2XX,E 30TH AV,Riley Park"
"2009,5,13,10,42,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,20XX,E 39TH AV,Kensington-Cedar Cottage"
"2009,5,14,9,50,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,18XX,E 40TH AV,Kensington-Cedar Cottage"
"2009,5,14,13,27,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,45XX,WALDEN ST,Riley Park"
"2009,5,15,15,43,ENG - Transportation,Active Transportation,Bicycle Route Map Request,38XX,W 18TH AV,Dunbar Southlands"
"2009,5,21,14,39,ENG - Transportation,Active Transportation,Bicycle Route Map Request,15XX,PENDRELL ST,West End"
"2009,5,21,16,48,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,20XX,E BROADWAY,Kensington-Cedar Cottage"
"2009,5,22,10,9,ENG - Transportation,Active Transportation,Bicycle Route Map Request,35XX,GRAVELEY ST,Hastings-Sunrise"
"2009,5,22,12,12,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,14XX,FOUNTAIN WAY,Fairview"
"2009,5,22,12,28,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,2XX,E 4TH AV,Mount Pleasant"
"2009,5,26,13,25,ENG - Transportation,Active Transportation,Bicycle Route Map Request,19XX,HARO ST,West End"
"2009,6,3,15,25,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,5XX,W 7TH AV,Fairview"
"2009,6,3,16,11,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,28XX,CAMBRIDGE ST,Hastings-Sunrise"
"2009,6,4,15,9,ENG - Transportation,Active Transportation,Bicycle Route Map Request,12XX,DAVIE ST,West End"
"2009,6,5,15,7,ENG - Transportation,Active Transportation,Bicycle Route Map Request,17XX,W GEORGIA ST,West End"
"2009,6,8,12,20,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,,VANNESS AV,"
"2009,6,8,12,54,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,10XX,COMMERCIAL DRIVE,Grandview-Woodland"
"2009,6,9,11,14,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,28XX,ALAMEIN AV,Arbutus Ridge"
"2009,6,9,11,29,ENG - Transportation,Active Transportation,Bicycle Route Map Request,3XX,E BROADWAY,Mount Pleasant"
"2009,6,10,8,53,ENG - Transportation,ZZ OLD - Traffic And Electrical Operations,Sign - Repair,2XX,ABBOTT ST,Downtown"
"2009,6,10,13,58,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,2XX,ABBOTT ST,Downtown"
"2009,6,10,13,58,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,2XX,ABBOTT ST,Downtown"
"2009,6,10,14,3,ENG - Solid Waste,Solid Waste Management,Apartment Recycling - Registration Request,2XX,ABBOTT ST,Downtown"
"2009,6,10,14,29,CSG - Inspections,Reception,Reception After Hours Inquiry Case,2XX,ABBOTT ST,Downtown"
"2009,6,10,16,14,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,3XX,E 65TH AV,Sunset"
"2009,6,10,16,22,ENG - Streets,Streets Operations,Streets - General Issues,1XX,ABBOTT ST,Downtown"
"2009,6,11,10,13,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,29XX,E 2ND AV,Hastings-Sunrise"
"2009,6,11,10,17,ENG - Transportation,Active Transportation,Bicycle Route Map Request,15XX,W 4TH AV,Fairview"
"2009,6,11,16,15,ENG - Transportation,Active Transportation,Bicycle Route Map Request,7XX,DENMAN ST,West End"
"2009,6,11,16,38,CSG - Inspections,Reception,Reception After Hours Inquiry Case,1XX,ABBOTT ST,Downtown"
"2009,6,12,16,39,ENG - Streets,Streets Operations,Bridges & Structures - Repair,1XX,ABBOTT ST,Downtown"
"2009,6,15,7,20,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,Intersection,BURRARD ST and W CORDOVA ST,Downtown"
"2009,6,15,7,46,ENG - Streets,Streets Operations,Street - Repair,38XX,SOPHIA ST,Riley Park"
"2009,6,15,7,59,CSG - Inspections,Reception,Reception After Hours Inquiry Case,27XX,W 4TH AV,Kitsilano"
"2009,6,15,8,10,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,69XX,FLEMING ST,Victoria-Fraserview"
"2009,6,15,8,17,CSG - Inspections,Reception,Reception After Hours Inquiry Case,8XX,E GEORGIA ST,Strathcona"
"2009,6,15,8,18,ENG - Streets,Streets Operations,Pothole - Repair,20XX,PINE ST,Fairview"
"2009,6,15,8,20,CSG - Inspections,Reception,Reception After Hours Inquiry Case,57XX,VINE ST,Kerrisdale"
"2009,6,15,8,32,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,19XX,TRIUMPH ST,Grandview-Woodland"
"2009,6,15,8,56,ENG - Streets,Streets Operations,Sidewalk - Repair,80XX,HUDSON ST,Marpole"
"2009,6,15,9,2,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,5XX,HELMCKEN ST,Downtown"
"2009,6,15,9,5,ENG - Streets,Streets Operations,Sidewalk - Repair,XX,ALEXANDER ST,Downtown"
"2009,6,15,9,12,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,5400, - 5499 QUEBEC ST,Riley Park"
"2009,6,15,9,18,ENG - Solid Waste,Sanitation,Dead Skunk Pickup,36XX,KNIGHT ST,"
"2009,6,15,9,20,ENG - Solid Waste,Sanitation,Dead Skunk Pickup,36XX,KNIGHT ST,"
"2009,6,15,9,21,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,1400, - 1499 TRAFALGAR ST,Kitsilano"
"2009,6,15,9,49,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,15XX,W 68TH AV,Marpole"
"2009,6,15,10,0,ENG - Streets,Streets Operations,Sidewalk - Repair,15XX,E 11TH AV,Kensington-Cedar Cottage"
"2009,6,15,10,6,ENG - Streets,Streets Operations,Sidewalk - Repair,15XX,E 11TH AV,Kensington-Cedar Cottage"
"2009,6,15,10,15,ENG - Solid Waste,Sanitation,Dead Skunk Pickup,22XX,W 5TH AV,Kitsilano"
"2009,6,15,10,42,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,31XX,W 4TH AV,Kitsilano"
"2009,6,15,10,56,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,80XX,ARGYLE ST,Victoria-Fraserview"
"2009,6,15,11,2,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,7XX,KINGSWAY,Mount Pleasant"
"2009,6,15,11,3,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,36XX,CAMERON AV,Kitsilano"
"2009,6,15,11,18,ENG - Streets,Streets Operations,Homelessness/Transient Issue,6XX,CLARK DRIVE,Strathcona"
"2009,6,15,11,36,ENG - Transportation,Active Transportation,Bicycle Route Map Request,5XX,BURRARD ST,Downtown"
"2009,6,15,11,51,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,,E 13TH AV,"
"2009,6,15,12,8,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,19XX,PANDORA ST,Grandview-Woodland"
"2009,6,15,12,14,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,42XX,PERRY ST,Kensington-Cedar Cottage"
"2009,6,15,12,14,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,2400, - 2499 E 37TH AV,Renfrew-Collingwood"
"2009,6,15,12,20,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,31XX,W 4TH AV,Kitsilano"
"2009,6,15,12,35,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,12XX,W 14TH AV,Fairview"
"2009,6,15,12,41,ENG - Transportation,Active Transportation,Bicycle Route Map Request,1XX,W BROADWAY,Mount Pleasant"
"2009,6,15,12,47,ENG - Transportation,Active Transportation,Bicycle Route Map Request,34XX,DUNBAR ST,Dunbar Southlands"
"2009,6,15,13,4,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,Intersection,BURRARD ST and W HASTINGS ST,Downtown"
"2009,6,15,13,56,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,34XX,E 27TH AV,Renfrew-Collingwood"
"2009,6,15,14,5,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,53XX,WALES ST,Renfrew-Collingwood"
"2009,6,15,14,11,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,27XX,W 24TH AV,Arbutus Ridge"
"2009,6,15,14,13,ENG - Transportation,Traffic and Data Management,Traffic Count Request,19XX,BLENHEIM ST,Kitsilano"
"2009,6,15,14,27,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,53XX,ROSS ST,Kensington-Cedar Cottage"
"2009,6,15,14,39,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,3XX,E 45TH AV,Sunset"
"2009,6,15,14,45,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,2100, - 2199 BRUNSWICK ST,Mount Pleasant"
"2009,6,15,14,53,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,2100, - 2199 BRUNSWICK ST,Mount Pleasant"
"2009,6,15,14,54,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,23XX,SLOCAN ST,Hastings-Sunrise"
"2009,6,15,14,57,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,25XX,E BROADWAY,Hastings-Sunrise"
"2009,6,15,15,0,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,26XX,E 8TH AV,Hastings-Sunrise"
"2009,6,15,15,3,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,2900, - 2999 E 8TH AV,Hastings-Sunrise"
"2009,6,15,15,41,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,9XX,E 20TH AV,Kensington-Cedar Cottage"
"2009,6,15,15,56,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,19XX,W 10TH AV,Kitsilano"
"2009,6,15,15,58,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,28XX,TRINITY ST,Hastings-Sunrise"
"2009,6,15,17,32,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,2700, - 2799 COLUMBIA ST,Mount Pleasant"
"2009,6,16,8,5,CSG - Inspections,Reception,Reception After Hours Inquiry Case,32XX,RENFREW ST,Renfrew-Collingwood"
"2009,6,16,8,35,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,45XX,DUNBAR ST,Dunbar Southlands"
"2009,6,16,8,43,ENG - Streets,Streets Operations,Sidewalk - Repair,34XX,DUNDAS ST,Hastings-Sunrise"
"2009,6,16,8,45,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,1500, - 1599 PENDRELL ST,West End"
"2009,6,16,8,46,ENG - Transportation,ZZ OLD - Traffic And Electrical Operations,Street Light - Out,22XX,COMMERCIAL DRIVE,Grandview-Woodland"
"2009,6,16,8,50,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,4XX,E 50TH AV,Sunset"
"2009,6,16,8,52,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,27XX,CAROLINA ST,Mount Pleasant"
"2009,6,16,9,16,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,1200, - 1299 HARO ST,West End"
